show_id,type,title,cast,release_year,duration,listed_in,platform
n587,movie,pet sematary 2,"edward furlong, anthony edwards, clancy brown, jared rushton, darlanne fluegel, jason mcguire, sarah trigger, lisa waltz, jim peck, len hunt",1992,101,horror,netflix
n588,tv show,quarantine tales,"adinia wirasti, marissa anita, faradina mufti, teuku rifnu wikana, arawinda kirana, abdurrahman arif, verdi solaiman, kiki narendra, brigitta cynthia, roy sungkono, windy apsari",2020,1,"international, comedy, drama",netflix
n589,tv show,rainbow rangers,"penelope rawlins, juliette crosbie, zehra naqvi, phillipa alexander, aileen mythen",2018,1,kids,netflix
n590,movie,red joan,"judi dench, sophie cookson, nina sosanya, tom hughes, tereza srbová, stephen campbell moore, ben miles, freddie gaminara, robin soans, kevin fuller",2019,101,"drama, international",netflix
n591,tv show,sailor moon crystal,"kotono mitsuishi, hisako kanemoto, rina satou, ami koshimizu, shizuka ito, ryo hirohashi, kenji nojima, misa watanabe",2016,3,"anime, kids",netflix
n592,movie,seven pounds,"will smith, rosario dawson, woody harrelson, michael ealy, barry pepper, elpidia carrillo, robinne lee, joe nunez, bill smitrovich, tim kelleher, gina hecht, andy milder, judyann elder, sarah jane morris",2008,123,"drama, romance",netflix
n593,movie,she's out of my league,"jay baruchel, alice eve, t.j. miller, mike vogel, nate torrence, krysten ritter, geoff stults, lindsay sloane, andrew daly, jasika nicole, kyle bornheimer",2010,106,"comedy, romance",netflix
n594,movie,snow day,"chris elliott, mark webber, jean smart, schuyler fisk, iggy pop, pam grier, john schneider, chevy chase, zena grey, josh peck",2000,89,"children & family movies, comedy",netflix
n595,movie,star trek,"chris pine, zachary quinto, karl urban, zoe saldana, simon pegg, john cho, anton yelchin, eric bana, leonard nimoy, bruce greenwood, ben cross, winona ryder",2009,128,"action & adventure, sci-fi & fantasy",netflix
n596,movie,stuart little,"michael j. fox, jonathan lipnicki, geena davis, hugh laurie, nathan lane",1999,85,"children & family movies, comedy",netflix
n597,movie,sword of trust,"marc maron, jon bass, michaela watkins, jillian bell, toby huss, dan bakkedahl, lynn shelton, whitmer thomas",2019,89,"comedy, drama, independent movies",netflix
n598,movie,talladega nights: the ballad of ricky bobby,"will ferrell, john c. reilly, sacha baron cohen, gary cole, michael clarke duncan, leslie bibb, jane lynch, amy adams, andy richter, molly shannon",2006,108,"action & adventure, comedy, sports",netflix
n599,movie,the american,"george clooney, violante placido, thekla reuten, paolo bonacelli, johan leysen, irina björklund, filippo timi, anna foglietta, björn granath",2010,105,"drama, thriller",netflix
n600,movie,the best of enemies,"taraji p. henson, sam rockwell, babou ceesay, anne heche, wes bentley, nick searcy, bruce mcgill, john gallagher jr., nicholas logan, gilbert glenn brown",2019,133,drama,netflix
n601,movie,the game,"michael douglas, sean penn, deborah kara unger, james rebhorn, peter donat, carroll baker, anna katarina, armin mueller-stahl",1997,129,thriller,netflix
n602,movie,the karate kid,"ralph macchio, pat morita, elisabeth shue, martin kove, randee heller, william zabka, ron thomas, rob garrison",1984,127,"action & adventure, children & family movies, classic",netflix
n603,movie,the karate kid part ii,"ralph macchio, pat morita, nobu mccarthy, tamlyn tomita, yuji okumoto, joey miyashima, marc hayashi, danny kamekona, tony o'dell, martin kove, william zabka",1986,113,"action & adventure, children & family movies, drama",netflix
n604,movie,the karate kid part iii,"ralph macchio, pat morita, robyn lively, thomas ian griffith, martin kove, sean kanan, jonathan avildsen, randee heller, william christopher ford",1989,112,"children & family movies, drama",netflix
n605,movie,the life of david gale,"kevin spacey, kate winslet, laura linney, gabriel mann, leon rippy, matt craven, rhona mitra, melissa mccarthy, jim beaver, chris warner",2003,130,drama,netflix
n606,movie,the long riders,"david carradine, keith carradine, robert carradine, james keach, stacy keach, dennis quaid, randy quaid, kevin brophy, harry carey jr., christopher guest, nicholas guest, shelby leverington, felice orlandi, pamela reed, james remar, fran ryan, savannah smith boucher, amy stryker, james whitmore jr.",1980,100,action & adventure,netflix
n607,movie,the queen,"helen mirren, michael sheen, james cromwell, helen mccrory, alex jennings, roger allam, sylvia syms, mark bazeley",2006,103,"drama, international",netflix
n608,movie,the strangers,"liv tyler, scott speedman, gemma ward, kip weeks, laura margolis, glenn howerton, alex fisher, peter clayton-luce",2008,85,"horror, thriller",netflix
n609,movie,the sum of all fears,"ben affleck, morgan freeman, bridget moynahan, james cromwell, liev schreiber, michael byrne, colm feore, alan bates, ron rifkin, ciarán hinds, bruce mcgill, richard marner, philip baker hall",2002,124,action & adventure,netflix
n610,movie,the tourist,"angelina jolie, johnny depp, paul bettany, timothy dalton, steven berkoff, rufus sewell, christian de sica, alessio boni, daniele pecci, giovanni guidelli",2010,103,"action & adventure, romance",netflix
n611,movie,underworld,"kate beckinsale, scott speedman, michael sheen, shane brolly, bill nighy, erwin leder, sophia myles, robbie gee, wentworth miller, kevin grevioux",2003,121,"action & adventure, horror, sci-fi & fantasy",netflix
